metab1, metab2, pcor, pval, adj pval
"Cyanobacteria","Chlorophyceae","0.259","0.193","0.618"
"Cyanobacteria","Euglenophyceae","-0.0829","0.681","0.941"
"Chlorophyceae","Euglenophyceae","-0.0605","0.764","0.966"
"Cyanobacteria","Diatomophyceae","0.176","0.38","0.772"
"Chlorophyceae","Diatomophyceae","-0.28","0.157","0.549"
"Euglenophyceae","Diatomophyceae","-0.361","0.064","0.349"
"Cyanobacteria","Flagellata   ","0.00581","0.977","0.998"
"Chlorophyceae","Flagellata   ","0.285","0.15","0.535"
"Euglenophyceae","Flagellata   ","-0.076","0.706","0.955"
"Diatomophyceae","Flagellata   ","0.382","0.0495","0.312"
"Cyanobacteria","Dinoflagellata ","0.0866","0.667","0.931"
"Chlorophyceae","Dinoflagellata ","-0.14","0.485","0.85"
"Euglenophyceae","Dinoflagellata ","-0.244","0.221","0.666"
"Diatomophyceae","Dinoflagellata ","-0.186","0.353","0.759"
"Flagellata   ","Dinoflagellata ","-0.0617","0.76","0.966"
"Cyanobacteria","Cryptophytes","0.129","0.522","0.87"
"Chlorophyceae","Cryptophytes","-0.191","0.341","0.753"
"Euglenophyceae","Cryptophytes","0.549","0.00302","0.0588"
"Diatomophyceae","Cryptophytes","0.327","0.0956","0.435"
"Flagellata   ","Cryptophytes","0.222","0.266","0.706"
"Dinoflagellata ","Cryptophytes","0.343","0.0797","0.398"
"Cyanobacteria","picophytoplankton","0.108","0.591","0.9"
"Chlorophyceae","picophytoplankton","0.145","0.471","0.844"
"Euglenophyceae","picophytoplankton","0.44","0.0216","0.185"
"Diatomophyceae","picophytoplankton","0.262","0.188","0.612"
"Flagellata   ","picophytoplankton","0.0375","0.853","0.982"
"Dinoflagellata ","picophytoplankton","0.24","0.228","0.672"
"Cryptophytes","picophytoplankton","0.0377","0.852","0.982"
"Cyanobacteria","Bosmina longirostris","-0.051","0.801","0.976"
"Chlorophyceae","Bosmina longirostris","0.282","0.155","0.543"
"Euglenophyceae","Bosmina longirostris","0.208","0.297","0.741"
"Diatomophyceae","Bosmina longirostris","0.491","0.0093","0.108"
"Flagellata   ","Bosmina longirostris","-0.201","0.316","0.741"
"Dinoflagellata ","Bosmina longirostris","0.512","0.00628","0.0875"
"Cryptophytes","Bosmina longirostris","-0.135","0.5","0.857"
"picophytoplankton","Bosmina longirostris","-0.246","0.216","0.666"
"Cyanobacteria","Ceriodaphnia sp.","0.184","0.357","0.759"
"Chlorophyceae","Ceriodaphnia sp.","-0.158","0.431","0.813"
"Euglenophyceae","Ceriodaphnia sp.","0.0131","0.948","0.998"
"Diatomophyceae","Ceriodaphnia sp.","-0.212","0.289","0.741"
"Flagellata   ","Ceriodaphnia sp.","0.235","0.238","0.681"
"Dinoflagellata ","Ceriodaphnia sp.","0.0348","0.863","0.99"
"Cryptophytes","Ceriodaphnia sp.","-0.117","0.562","0.893"
"picophytoplankton","Ceriodaphnia sp.","0.0474","0.815","0.976"
"Bosmina longirostris","Ceriodaphnia sp.","0.0731","0.717","0.956"
"Cyanobacteria","Diaphanosoma brachyurum ","-0.209","0.295","0.741"
"Chlorophyceae","Diaphanosoma brachyurum ","0.0993","0.622","0.908"
"Euglenophyceae","Diaphanosoma brachyurum ","-0.376","0.0533","0.32"
"Diatomophyceae","Diaphanosoma brachyurum ","0.0883","0.661","0.928"
"Flagellata   ","Diaphanosoma brachyurum ","-0.0125","0.951","0.998"
"Dinoflagellata ","Diaphanosoma brachyurum ","-0.0452","0.823","0.976"
"Cryptophytes","Diaphanosoma brachyurum ","0.253","0.203","0.643"
"picophytoplankton","Diaphanosoma brachyurum ","0.174","0.385","0.774"
"Bosmina longirostris","Diaphanosoma brachyurum ","-0.212","0.288","0.741"
"Ceriodaphnia sp.","Diaphanosoma brachyurum ","0.155","0.44","0.82"
"Cyanobacteria","Leptodora kindtii","-0.238","0.231","0.674"
"Chlorophyceae","Leptodora kindtii","0.105","0.601","0.9"
"Euglenophyceae","Leptodora kindtii","0.0185","0.927","0.998"
"Diatomophyceae","Leptodora kindtii","0.0265","0.896","0.995"
"Flagellata   ","Leptodora kindtii","0.171","0.393","0.781"
"Dinoflagellata ","Leptodora kindtii","0.0448","0.824","0.976"
"Cryptophytes","Leptodora kindtii","-0.102","0.612","0.901"
"picophytoplankton","Leptodora kindtii","-0.0168","0.934","0.998"
"Bosmina longirostris","Leptodora kindtii","-0.0369","0.855","0.982"
"Ceriodaphnia sp.","Leptodora kindtii","-0.0248","0.902","0.995"
"Diaphanosoma brachyurum ","Leptodora kindtii","0.000691","0.997","0.998"
"Cyanobacteria","Acartia longiremis","-0.286","0.148","0.535"
"Chlorophyceae","Acartia longiremis","0.229","0.25","0.689"
"Euglenophyceae","Acartia longiremis","-0.214","0.285","0.737"
"Diatomophyceae","Acartia longiremis","-0.0069","0.973","0.998"
"Flagellata   ","Acartia longiremis","-0.142","0.48","0.85"
"Dinoflagellata ","Acartia longiremis","-0.0953","0.637","0.909"
"Cryptophytes","Acartia longiremis","0.615","0.000639","0.0192"
"picophytoplankton","Acartia longiremis","-0.331","0.0915","0.427"
"Bosmina longirostris","Acartia longiremis","-0.208","0.298","0.741"
"Ceriodaphnia sp.","Acartia longiremis","0.149","0.457","0.839"
"Diaphanosoma brachyurum ","Acartia longiremis","-0.349","0.0748","0.384"
"Leptodora kindtii","Acartia longiremis","0.0253","0.9","0.995"
"Cyanobacteria","Acartia tonsa","0.41","0.0337","0.251"
"Chlorophyceae","Acartia tonsa","-0.094","0.641","0.912"
"Euglenophyceae","Acartia tonsa","-0.00403","0.984","0.998"
"Diatomophyceae","Acartia tonsa","-0.0923","0.647","0.916"
"Flagellata   ","Acartia tonsa","-0.192","0.338","0.753"
"Dinoflagellata ","Acartia tonsa","-0.125","0.535","0.879"
"Cryptophytes","Acartia tonsa","-0.0486","0.81","0.976"
"picophytoplankton","Acartia tonsa","0.0725","0.719","0.956"
